Left	Right	k	Cumulative	Norm	RAS	StdErr
<HGDP00880>	Basque2	7	False	58348346	9.241287580595633e-3	6.6961745159646e-5
<HGDP00880>	Basque2	8	False	58348346	1.1637940981957888e-2	2.0087781616212938e-4
<HGDP00880>	Basque2	9	False	58348346	5.953945243672519e-3	5.7845849318770375e-5
<HGDP00880>	Basque2	10	False	58348346	7.944915296599282e-3	1.2092932484074475e-4
<HGDP00880>	BergamoItalian2	2	False	58348346	0.14197064514904978	7.28547374182464e-4
<HGDP00880>	BergamoItalian2	3	False	58348346	4.0687723607452334e-2	1.5330004199964772e-4
<HGDP00880>	BergamoItalian2	4	False	58348346	4.462375163128014e-2	4.388040912481166e-4
<HGDP00880>	BergamoItalian2	5	False	58348346	1.7144925581952263e-2	1.056199131457602e-4
<HGDP00880>	BergamoItalian2	6	False	58348346	1.975607243434118e-2	2.3224387264266956e-4
<HGDP00880>	BergamoItalian2	7	False	58348346	9.254040380167765e-3	6.737413149488934e-5
<HGDP00880>	BergamoItalian2	8	False	58348346	1.1661902549902617e-2	2.020551209550537e-4
<HGDP00880>	BergamoItalian2	9	False	58348346	5.961749112819757e-3	5.8193030331802117e-5
<HGDP00880>	BergamoItalian2	10	False	58348346	7.958970250844816e-3	1.215668433969675e-4
<HGDP00880>	French2	2	False	58348346	0.14149350572587518	7.271853767649784e-4
<HGDP00880>	French2	3	False	58348346	4.058178642089737e-2	1.530451182822508e-4
<HGDP00880>	French2	4	False	58348346	4.438602434024872e-2	4.3576867599602576e-4
<HGDP00880>	French2	5	False	58348346	1.7077298557871885e-2	1.0490545322699363e-4
<HGDP00880>	French2	6	False	58348346	1.962666569450392e-2	2.2990984474448585e-4
<HGDP00880>	French2	7	False	58348346	9.213523148341887e-3	6.67777239754477e-5
<HGDP00880>	French2	8	False	58348346	1.1576031287093485e-2	2.0056169720057576e-4
<HGDP00880>	French2	9	False	58348346	5.93212797787327e-3	5.768853151463312e-5
<HGDP00880>	French2	10	False	58348346	7.890699908812117e-3	1.2000943145439926e-4
<HGDP00880>	Han2	2	False	58348346	0.1415250880710675	7.267295977527855e-4
<HGDP00880>	Han2	3	False	58348346	4.054108436496126e-2	1.5270292558590358e-4
<HGDP00880>	Han2	4	False	58348346	4.439533934634178e-2	4.3540541158768124e-4
<HGDP00880>	Han2	5	False	58348346	1.7066493389381213e-2	1.04657559546058e-4
<HGDP00880>	Han2	6	False	58348346	1.963581809267606e-2	2.2953011445524385e-4
<HGDP00880>	Han2	7	False	58348346	9.207536477444427e-3	6.645031023392907e-5
<HGDP00880>	Han2	8	False	58348346	1.1582770486758974e-2	2.0024721824802796e-4
<HGDP00880>	Han2	9	False	58348346	5.928388048853581e-3	5.746220023487843e-5
<HGDP00880>	Han2	10	False	58348346	7.899528866651793e-3	1.1986232344847444e-4
<HGDP00880>	Karitiana2	2	False	58348346	0.1417658377154326	7.232107232403879e-4
<HGDP00880>	Karitiana2	3	False	58348346	4.067059458720564e-2	1.5252808888481046e-4
<HGDP00880>	Karitiana2	4	False	58348346	4.445452275545226e-2	4.340368243543366e-4
<HGDP00880>	Karitiana2	5	False	58348346	1.7096088293573935e-2	1.0467146152551331e-4
<HGDP00880>	Karitiana2	6	False	58348346	1.9618797334889367e-2	2.2646799367557967e-4
<HGDP00880>	Karitiana2	7	False	58348346	9.204901455132941e-3	6.620157137505847e-5
<HGDP00880>	Karitiana2	8	False	58348346	1.150277507437829e-2	1.678666910971965e-4
<HGDP00880>	Karitiana2	9	False	58348346	5.909702650354477e-3	5.180936859458159e-5
<HGDP00880>	Karitiana2	10	False	58348346	7.840326356466046e-3	1.152423685305351e-4
<HGDP00880>	Mbuti2	2	False	58348346	0.13944976069010048	6.968304464966517e-4
<HGDP00880>	Mbuti2	3	False	58348346	3.919037201780618e-2	1.44774026525493e-4
<HGDP00880>	Mbuti2	4	False	58348346	4.2687251151901785e-2	4.249460265507412e-4
<HGDP00880>	Mbuti2	5	False	58348346	1.595035397793916e-2	1.0033333071642449e-4
<HGDP00880>	Mbuti2	6	False	58348346	1.832918864416654e-2	2.2433349201339192e-4
<HGDP00880>	Mbuti2	7	False	58348346	8.351417692129754e-3	6.27063281994847e-5
<HGDP00880>	Mbuti2	8	False	58348346	1.057864332450987e-2	1.970460867249928e-4
<HGDP00880>	Mbuti2	9	False	58348346	5.292460529760665e-3	5.473247354058631e-5
<HGDP00880>	Mbuti2	10	False	58348346	7.108599102363594e-3	1.1424455944123852e-4
<HGDP00880>	Orcadian2	2	False	58348346	0.14190124633919737	7.269710240108228e-4
<HGDP00880>	Orcadian2	3	False	58348346	4.068503039947779e-2	1.5314862071556147e-4
<HGDP00880>	Orcadian2	4	False	58348346	4.458244461370297e-2	4.375559712723497e-4
<HGDP00880>	Orcadian2	5	False	58348346	1.7136968860463318e-2	1.0535910014102802e-4
<HGDP00880>	Orcadian2	6	False	58348346	1.9738125580616e-2	2.3157517081005003e-4
<HGDP00880>	Orcadian2	7	False	58348346	9.24925466676401e-3	6.723053675268552e-5
<HGDP00880>	Orcadian2	8	False	58348346	1.1654627048699228e-2	2.0175775713753664e-4
<HGDP00880>	Orcadian2	9	False	58348346	5.95888257582644e-3	5.804986391835468e-5
<HGDP00880>	Orcadian2	10	False	58348346	7.956312802897473e-3	1.2152768964770214e-4
<HGDP00880>	Russian2	2	False	58348346	0.14195898096460707	7.283593260095811e-4
<HGDP00880>	Russian2	3	False	58348346	4.069030769396441e-2	1.5337266638436686e-4
<HGDP00880>	Russian2	4	False	58348346	4.460424934604029e-2	4.3832933394311686e-4
<HGDP00880>	Russian2	5	False	58348346	1.7140473758729395e-2	1.055048959854509e-4
<HGDP00880>	Russian2	6	False	58348346	1.9736939631651195e-2	2.3153980441888847e-4
<HGDP00880>	Russian2	7	False	58348346	9.249619704208303e-3	6.719470823377034e-5
<HGDP00880>	Russian2	8	False	58348346	1.1644879843909682e-2	2.0140332172623125e-4
<HGDP00880>	Russian2	9	False	58348346	5.957504851085672e-3	5.7966819332913676e-5
<HGDP00880>	Russian2	10	False	58348346	7.946472225100669e-3	1.2107099603885734e-4
<HGDP00880>	Sardinian2	2	False	58348346	0.1419600313751183	7.279803833691138e-4
<HGDP00880>	Sardinian2	3	False	58348346	4.069149571358619e-2	1.5325619659874181e-4
<HGDP00880>	Sardinian2	4	False	58348346	4.460408849398319e-2	4.3796699090961795e-4
