Left	Right	k	Count
None	All	1334	2
None	All	1335	1
None	All	1336	2
None	All	1337	1
None	All	1338	1
None	All	1339	2
None	All	1340	5
None	All	1341	0
None	All	1342	2
None	All	1343	0
None	All	1344	0
None	All	1345	2
None	All	1346	2
None	All	1347	0
None	All	1348	0
None	All	1349	2
None	All	1350	0
None	All	1351	1
None	All	1352	1
None	All	1353	1
None	All	1354	0
None	All	1355	0
None	All	1356	0
None	All	1357	1
None	All	1358	0
None	All	1359	1
None	All	1360	3
None	All	1361	2
None	All	1362	2
None	All	1363	3
None	All	1364	4
None	All	1365	9
None	All	1366	4
None	All	1367	2
None	All	1368	1
None	All	1369	4
None	All	1370	6
None	All	1371	3
None	All	1372	4
None	All	1373	2
None	All	1374	1
None	All	1375	1
None	All	1376	4
None	All	1377	1
None	All	1378	1
None	All	1379	2
None	All	1380	2
None	All	1381	1
None	All	1382	1
None	All	1383	1
None	All	1384	8
None	All	1385	2
None	All	1386	4
None	All	1387	0
None	All	1388	0
None	All	1389	1
None	All	1390	2
None	All	1391	3
None	All	1392	6
None	All	1393	5
None	All	1394	0
None	All	1395	0
None	All	1396	1
None	All	1397	0
None	All	1398	0
