Left	Right	k	Cumulative	Norm	RAS	StdErr
<NA12890>	YRI2	8	False	77818002	7.501535716999878e-3	3.248393435907367e-5
<NA12890>	YRI2	9	False	77818002	6.425290959820666e-3	2.8722363422368764e-5
<NA12890>	YRI2	10	False	77818002	5.524061220986613e-3	2.7216135047067443e-5
<HG00383>	CEU2	2	False	77818002	4.6249681688884575e-2	8.302027116685457e-5
<HG00383>	CEU2	3	False	77818002	2.6279539637129756e-2	6.31190032487314e-5
<HG00383>	CEU2	4	False	77818002	1.834974902980718e-2	5.1779623604306994e-5
<HG00383>	CEU2	5	False	77818002	1.4042094755040906e-2	4.834047523189021e-5
<HG00383>	CEU2	6	False	77818002	1.1173139795448046e-2	4.031440100528063e-5
<HG00383>	CEU2	7	False	77818002	9.089784005208844e-3	3.489256045568785e-5
<HG00383>	CEU2	8	False	77818002	7.655873089914106e-3	3.334715671512148e-5
<HG00383>	CEU2	9	False	77818002	6.575090652234607e-3	2.9661457940974027e-5
<HG00383>	CEU2	10	False	77818002	5.66840668145434e-3	2.8202814841414502e-5
<HG00383>	FIN2	2	False	77818002	4.625586661983477e-2	8.303035969563346e-5
<HG00383>	FIN2	3	False	77818002	2.6280499781221447e-2	6.312609674054176e-5
<HG00383>	FIN2	4	False	77818002	1.8349173804467964e-2	5.178657506001377e-5
<HG00383>	FIN2	5	False	77818002	1.4040887305121964e-2	4.834828726707675e-5
<HG00383>	FIN2	6	False	77818002	1.117169033887586e-2	4.031035340606804e-5
<HG00383>	FIN2	7	False	77818002	9.08786914867888e-3	3.488963223897997e-5
<HG00383>	FIN2	8	False	77818002	7.654519813350275e-3	3.336347330605449e-5
<HG00383>	FIN2	9	False	77818002	6.573575717743513e-3	2.9638438247670528e-5
<HG00383>	FIN2	10	False	77818002	5.6673783436170825e-3	2.8188737625210388e-5
<HG00383>	GBR2	2	False	77818002	4.625039125684393e-2	8.302808045679458e-5
<HG00383>	GBR2	3	False	77818002	2.628030928000905e-2	6.311981275564117e-5
<HG00383>	GBR2	4	False	77818002	1.8350643793106552e-2	5.17822474461449e-5
<HG00383>	GBR2	5	False	77818002	1.4042737433208802e-2	4.834370805071833e-5
<HG00383>	GBR2	6	False	77818002	1.1173781969375766e-2	4.0316602907284994e-5
<HG00383>	GBR2	7	False	77818002	9.090276603623743e-3	3.489544333137372e-5
<HG00383>	GBR2	8	False	77818002	7.656425766598009e-3	3.336016475327674e-5
<HG00383>	GBR2	9	False	77818002	6.575458600977654e-3	2.9658699171888615e-5
<HG00383>	GBR2	10	False	77818002	5.668811639569176e-3	2.8207874604467418e-5
<HG00383>	IBS2	2	False	77818002	4.624561012183798e-2	8.301403079301121e-5
<HG00383>	IBS2	3	False	77818002	2.6277163287205783e-2	6.31138533491444e-5
<HG00383>	IBS2	4	False	77818002	1.8347913219605015e-2	5.1769381573751354e-5
<HG00383>	IBS2	5	False	77818002	1.4040457288190623e-2	4.834345891334872e-5
<HG00383>	IBS2	6	False	77818002	1.1171834696577072e-2	4.030128558351108e-5
<HG00383>	IBS2	7	False	77818002	9.088459744461567e-3	3.487727290268667e-5
<HG00383>	IBS2	8	False	77818002	7.6545612096775425e-3	3.333806206471598e-5
<HG00383>	IBS2	9	False	77818002	6.5738984822316035e-3	2.9646249968799834e-5
<HG00383>	IBS2	10	False	77818002	5.6671675068315575e-3	2.818510031774945e-5
<HG00383>	TSI2	2	False	77818002	4.62388403882376e-2	8.29979893861593e-5
<HG00383>	TSI2	3	False	77818002	2.6276566228638724e-2	6.310881266520502e-5
<HG00383>	TSI2	4	False	77818002	1.8348887532047758e-2	5.1775027053903725e-5
<HG00383>	TSI2	5	False	77818002	1.4042212635482231e-2	4.8355740581038227e-5
<HG00383>	TSI2	6	False	77818002	1.1173391197726054e-2	4.031435492584323e-5
<HG00383>	TSI2	7	False	77818002	9.09011699962616e-3	3.489059500998365e-5
<HG00383>	TSI2	8	False	77818002	7.656292599971184e-3	3.3353073410582006e-5
<HG00383>	TSI2	9	False	77818002	6.57540716117393e-3	2.9652215962127362e-5
<HG00383>	TSI2	10	False	77818002	5.668707424720138e-3	2.8191614289872924e-5
<HG00383>	CHB2	2	False	77818002	4.621175366477433e-2	8.298111495403725e-5
<HG00383>	CHB2	3	False	77818002	2.625359778258611e-2	6.309371485816322e-5
<HG00383>	CHB2	4	False	77818002	1.8329397121776333e-2	5.175430392667394e-5
<HG00383>	CHB2	5	False	77818002	1.4026162870347508e-2	4.8313831673369756e-5
<HG00383>	CHB2	6	False	77818002	1.1159985255731631e-2	4.0257537391912265e-5
<HG00383>	CHB2	7	False	77818002	9.078811993926425e-3	3.4850933827760866e-5
<HG00383>	CHB2	8	False	77818002	7.646493532562056e-3	3.326781534577375e-5
<HG00383>	CHB2	9	False	77818002	6.567506260910352e-3	2.9585586196133835e-5
<HG00383>	CHB2	10	False	77818002	5.6621172436436855e-3	2.8152449053028094e-5
<HG00383>	YRI2	2	False	77818002	4.608243261415842e-2	8.252449065039252e-5
<HG00383>	YRI2	3	False	77818002	2.6107428170914517e-2	6.239802339426235e-5
<HG00383>	YRI2	4	False	77818002	1.8178141632379415e-2	5.0999473454026036e-5
<HG00383>	YRI2	5	False	77818002	1.3870574666551382e-2	4.741199951943468e-5
<HG00383>	YRI2	6	False	77818002	1.100564197276115e-2	3.9399016448856756e-5
<HG00383>	YRI2	7	False	77818002	8.928785741205076e-3	3.3999167907311614e-5
<HG00383>	YRI2	8	False	77818002	7.499293458258289e-3	3.243916955778694e-5
<HG00383>	YRI2	9	False	77818002	6.42262487944997e-3	2.8713170032658307e-5
<HG00383>	YRI2	10	False	77818002	5.522177613496556e-3	2.7221915241882647e-5
<HG00384>	CEU2	2	False	77818002	4.624735836539762e-2	8.301515505116302e-5
<HG00384>	CEU2	3	False	77818002	2.628013648972294e-2	6.313204851094918e-5
<HG00384>	CEU2	4	False	77818002	1.834880766466342e-2	5.171287177939955e-5
<HG00384>	CEU2	5	False	77818002	1.404252822747524e-2	4.8283963603008135e-5
<HG00384>	CEU2	6	False	77818002	1.1171997856567894e-2	4.026477057039368e-5
<HG00384>	CEU2	7	False	77818002	9.090256260973014e-3	3.492936673205688e-5
<HG00384>	CEU2	8	False	77818002	7.656340775140679e-3	3.334914395337462e-5
<HG00384>	CEU2	9	False	77818002	6.575745729502247e-3	2.9649646315274015e-5
<HG00384>	CEU2	10	False	77818002	5.668512731174293e-3	2.8191450018340516e-5
<HG00384>	FIN2	2	False	77818002	4.625352213277162e-2	8.30248467584465e-5
<HG00384>	FIN2	3	False	77818002	2.6281063878295218e-2	6.313879350576156e-5
<HG00384>	FIN2	4	False	77818002	1.834820571161529e-2	5.172029695859446e-5
<HG00384>	FIN2	5	False	77818002	1.4041270965320584e-2	4.829200283370155e-5
<HG00384>	FIN2	6	False	77818002	1.1170518393422825e-2	4.0261407856705114e-5
